,Media Sources,Tweet Polarity,Positive,Negative,Neutral,Tweets Ago,Date
144,@CBS,-0.1027,0.09,0.108,0.802,45,Tue Mar 27 02:18:48 +0000 2018
145,@CBS,0.2577,0.097,0.0,0.903,46,Tue Mar 27 02:18:47 +0000 2018
146,@CBS,0.0,0.0,0.0,1.0,47,Tue Mar 27 02:18:22 +0000 2018
147,@CBS,0.4019,0.105,0.0,0.895,48,Tue Mar 27 02:18:05 +0000 2018
148,@CBS,0.2577,0.097,0.0,0.903,49,Tue Mar 27 02:17:59 +0000 2018
149,@CBS,0.0,0.0,0.0,1.0,50,Tue Mar 27 02:17:57 +0000 2018
150,@CBS,0.0,0.0,0.0,1.0,51,Tue Mar 27 02:17:42 +0000 2018
151,@CBS,0.4019,0.137,0.0,0.863,52,Tue Mar 27 02:17:22 +0000 2018
152,@CBS,-0.3818,0.0,0.148,0.852,53,Tue Mar 27 02:17:21 +0000 2018
153,@CBS,-0.3818,0.134,0.274,0.591,54,Tue Mar 27 02:17:08 +0000 2018
154,@CBS,0.4019,0.137,0.0,0.863,55,Tue Mar 27 02:17:07 +0000 2018
155,@CBS,0.2732,0.1,0.0,0.9,56,Tue Mar 27 02:16:53 +0000 2018
156,@CBS,0.0,0.0,0.0,1.0,57,Tue Mar 27 02:16:51 +0000 2018
157,@CBS,0.0,0.0,0.0,1.0,58,Tue Mar 27 02:15:40 +0000 2018
158,@CBS,0.0,0.0,0.0,1.0,59,Tue Mar 27 02:15:35 +0000 2018
159,@CBS,0.7184,0.25,0.0,0.75,60,Tue Mar 27 02:15:35 +0000 2018
160,@CBS,-0.2023,0.115,0.151,0.734,61,Tue Mar 27 02:15:32 +0000 2018
161,@CBS,0.7184,0.25,0.0,0.75,62,Tue Mar 27 02:15:13 +0000 2018
162,@CBS,-0.1027,0.09,0.108,0.802,63,Tue Mar 27 02:15:00 +0000 2018
163,@CBS,0.0,0.0,0.0,1.0,64,Tue Mar 27 02:14:38 +0000 2018
164,@CBS,-0.6486,0.0,0.29,0.71,65,Tue Mar 27 02:14:35 +0000 2018
165,@CBS,0.0,0.0,0.0,1.0,66,Tue Mar 27 02:14:29 +0000 2018
166,@CBS,0.0,0.0,0.0,1.0,67,Tue Mar 27 02:14:26 +0000 2018
167,@CBS,-0.2263,0.0,0.087,0.913,68,Tue Mar 27 02:14:19 +0000 2018
168,@CBS,0.0,0.0,0.0,1.0,69,Tue Mar 27 02:14:16 +0000 2018
169,@CBS,0.0,0.0,0.0,1.0,70,Tue Mar 27 02:14:15 +0000 2018
170,@CBS,0.3612,0.122,0.0,0.878,71,Tue Mar 27 02:14:03 +0000 2018
171,@CBS,-0.1779,0.0,0.091,0.909,72,Tue Mar 27 02:13:34 +0000 2018
172,@CBS,-0.4767,0.0,0.162,0.838,73,Tue Mar 27 02:13:30 +0000 2018
173,@CBS,0.0,0.0,0.0,1.0,74,Tue Mar 27 02:13:21 +0000 2018
174,@CBS,0.296,0.104,0.0,0.896,75,Tue Mar 27 02:12:32 +0000 2018
175,@CBS,0.0,0.0,0.0,1.0,76,Tue Mar 27 02:12:20 +0000 2018
176,@CBS,-0.6597,0.0,0.278,0.722,77,Tue Mar 27 02:12:11 +0000 2018
177,@CBS,0.0,0.0,0.0,1.0,78,Tue Mar 27 02:12:05 +0000 2018
178,@CBS,0.0772,0.067,0.0,0.933,79,Tue Mar 27 02:11:56 +0000 2018
179,@CBS,0.0,0.0,0.0,1.0,80,Tue Mar 27 02:11:53 +0000 2018
180,@CBS,0.2577,0.097,0.0,0.903,81,Tue Mar 27 02:11:50 +0000 2018
181,@CBS,0.2577,0.097,0.0,0.903,82,Tue Mar 27 02:11:49 +0000 2018
182,@CBS,0.0,0.0,0.0,1.0,83,Tue Mar 27 02:11:47 +0000 2018
